id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,language,forks,description,topics,topic
90553046,watson-banking-chatbot+IBM,IBM,264,2017-05-07T18:28:08Z,2024-11-17T16:41:42Z,23407,264,3,JavaScript,374,"A chatbot for banking that uses the Watson Assistant, Discovery, Natural Language Understanding and Tone Analyzer services.","['chatbot', 'ibm-cloud', 'ibm-developer-technology-cognitive', 'ibmcode', 'watson-assistant', 'watson-conversation', 'watson-discovery', 'watson-natural-language', 'watson-tone-analyzer']",Banking
64086335,avanza+fhqvst,fhqvst,229,2016-07-24T21:25:38Z,2024-11-13T15:54:15Z,3687,229,37,JavaScript,59,A JavaScript client for the unofficial Avanza API,"['avanza', 'banking', 'finance', 'node']",Banking
174914002,open-banking-tracker-data+not-a-bank,not-a-bank,184,2019-03-11T02:48:30Z,2024-11-14T11:45:28Z,3307,184,17,JavaScript,271,The open banking API directory,"['api', 'bank', 'banking', 'data', 'finance', 'fintech', 'institutions', 'obie', 'openbanking', 'psd2', 'tracker']",Banking
163098907,mern-plaid+rishipr,rishipr,134,2018-12-25T16:58:10Z,2024-09-20T15:54:32Z,211,134,2,JavaScript,53,Full-stack banking web app built with Plaid's API and the MERN stack,[],Banking
58998660,openbank+apigee,apigee,132,2016-05-17T07:05:52Z,2024-11-17T03:54:18Z,46187,132,34,JavaScript,91,An Open Banking Reference Implementation with Apigee  ,[],Banking
289937859,cerberus_research+ics-iot-bootcamp,ics-iot-bootcamp,125,2020-08-24T13:36:30Z,2024-10-16T15:34:41Z,14603,125,1,JavaScript,71,Research tools for analysing Cerberus banking trojan.,"['analysis', 'android', 'banking', 'cerberus', 'cerberus-banking-trojan', 'decrypter', 'decryptor', 'malware', 'paper', 'research', 'tools', 'trojan']",Banking
183693869,The-Fed+memetic-institute,memetic-institute,96,2019-04-26T21:03:43Z,2024-09-05T23:03:05Z,6240,96,26,JavaScript,9,A simple game about central banking,"['federal-reserve', 'game', 'memes', 'react']",Banking
55164255,monzoweb+robcalcroft,robcalcroft,79,2016-03-31T16:04:04Z,2024-06-23T12:06:20Z,1351,79,7,JavaScript,21,:moneybag: View your Monzo account from your browser and view all your transactions on an interactive map!,"['banking', 'fintech', 'mobile', 'mondo', 'monzo', 'react']",Banking
270563444,fullstack_banking_app+myogeshchavan97,myogeshchavan97,70,2020-06-08T06:56:52Z,2024-09-18T05:21:30Z,2049,70,33,JavaScript,47,"Fullstack banking app created using Postgresql, Express, React and Nodejs ","['express', 'nodejs', 'postgresql', 'react']",Banking
3749321,Unblock-Youku+uku,uku,3183,2012-03-17T17:20:13Z,2024-11-18T23:32:39Z,2176,3183,10,JavaScript,652,A Chrome extension helping users access their web services while traveling outside mainland China,['chrome-extension'],Travel
391329607,project_travel_advisor+adrianhajdin,adrianhajdin,2035,2021-07-31T10:54:38Z,2024-11-20T07:08:15Z,173,2035,41,JavaScript,447,"Tutorial created in collaboration with Enyel Sequeira, taught by JavaScript Mastery.","['api', 'javascript', 'rapidapi', 'reactjs']",Travel
131104320,nextjs-page-transitions+xavxyz,xavxyz,458,2018-04-26T05:26:51Z,2024-10-12T23:29:47Z,1512,458,1,JavaScript,49,"Travel App, Native-like Page Transitions (:atom: with React & Next.js)","['animations', 'native-like-transitions', 'nextjs', 'page-transitions', 'page-transitions-next', 'page-transitions-react', 'react', 'reactjs']",Travel
208333808,tspvis+jhackshaw,jhackshaw,440,2019-09-13T19:35:46Z,2024-11-17T13:23:05Z,7254,440,33,JavaScript,57,🗺️   Visualize and control algorithms for the traveling salesman problem,"['algorithms', 'data-visualization', 'heuristics', 'javascript', 'react', 'travelling-salesman-problem', 'tsp', 'visualization']",Travel
93405527,babel-time-travel+babel,babel,344,2017-06-05T13:15:16Z,2024-05-20T11:09:58Z,93,344,0,JavaScript,14,Time travel through babel transformations one by one (implemented in the Babel REPL now),"['babel', 'babili', 'repl', 'timetravel']",Travel
95377903,travel-RN+narendrashetty,narendrashetty,313,2017-06-25T18:22:00Z,2024-11-17T07:29:28Z,15277,313,1,JavaScript,40,This is an experiment to learn how Animated api of React Native works.,[],Travel
