id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,topic
612230,nvm,nvm-sh,79978,2010-04-15T17:47:47Z,2024-11-08T15:18:28Z,3700,79978,357,8004,File Manager
357728969,bun,oven-sh,74127,2021-04-14T00:48:17Z,2024-11-08T15:20:33Z,207246,74127,3951,2764,File Manager
162279822,Motrix,agalwood,45641,2018-12-18T11:45:05Z,2024-11-08T14:20:22Z,69808,45641,740,4557,File Manager
10187082,pm2,Unitech,41533,2013-05-21T03:25:25Z,2024-11-08T09:46:40Z,13236,41533,988,2624,File Manager
53238813,brew,Homebrew,41326,2016-03-06T05:08:38Z,2024-11-08T15:13:34Z,90608,41326,68,9720,File Manager
164140756,Files,files-community,34465,2019-01-04T18:19:14Z,2024-11-08T14:48:08Z,236365,34465,485,2191,File Manager
12732573,vim-plug,junegunn,34142,2013-09-10T14:58:51Z,2024-11-08T14:30:54Z,8950,34142,78,1930,File Manager
164574693,AnotherRedisDesktopManager,qishibo,30636,2019-01-08T06:01:56Z,2024-11-08T14:41:30Z,5547,30636,123,2571,File Manager
50565430,pnpm,pnpm,29705,2016-01-28T07:40:43Z,2024-11-08T14:21:06Z,172345,29705,1705,1012,File Manager
1864363,composer,composer,28622,2011-06-08T08:53:00Z,2024-11-08T14:01:22Z,27345,28622,113,4551,File Manager
15111821,grafana,grafana,64921,2013-12-11T15:59:56Z,2024-11-08T15:07:50Z,1171156,64921,4253,12119,Analytics
39464018,superset,apache,62626,2015-07-21T18:55:34Z,2024-11-08T14:53:10Z,932423,62626,1027,13816,Analytics
229764465,30-Days-Of-JavaScript,Asabeneh,43221,2019-12-23T14:07:40Z,2024-11-08T15:19:15Z,124975,43221,345,10021,Analytics
17165658,spark,apache,39810,2014-02-25T08:00:08Z,2024-11-08T14:13:36Z,476522,39810,227,28300,Analytics
30203935,metabase,metabase,38684,2015-02-02T19:25:47Z,2024-11-08T15:05:05Z,725078,38684,4356,5136,Analytics
60246359,ClickHouse,ClickHouse,37530,2016-06-02T08:28:18Z,2024-11-08T13:45:28Z,1438459,37530,3973,6898,Analytics
37958358,tesseract.js,naptha,35251,2015-06-24T02:49:52Z,2024-11-08T09:19:01Z,109171,35251,35,2228,Analytics
332880689,coolify,coollabsio,34152,2021-01-25T20:54:01Z,2024-11-08T13:40:54Z,28372,34152,344,1847,Analytics
13124802,influxdb,influxdata,28928,2013-09-26T14:31:10Z,2024-11-08T13:43:43Z,197162,28928,2020,3552,Analytics
13926404,redash,getredash,26313,2013-10-28T13:19:39Z,2024-11-08T14:52:04Z,27365,26313,649,4365,Analytics
20580498,kubernetes,kubernetes,110934,2014-06-06T22:56:04Z,2024-11-08T15:17:56Z,1318994,110934,2448,39621,Project Management
3638964,ansible,ansible,62932,2012-03-06T14:58:02Z,2024-11-08T13:11:56Z,256130,62932,861,23904,Project Management
36535156,redux,reduxjs,60896,2015-05-29T23:53:15Z,2024-11-08T11:14:52Z,33488,60896,39,15272,Project Management
626805178,dify,langgenius,51075,2023-04-12T07:40:24Z,2024-11-08T14:51:26Z,54511,51075,333,7352,Project Management
455229168,immich,immich-app,50968,2022-02-03T15:56:27Z,2024-11-08T15:19:02Z,188611,50968,428,2694,Project Management
